#Record "Start hour" " Dem" Win Sol AirTemp
1 0.0 28242.70 8198.98 0.00 6.3
2 0.5 28901.05 8087.58 0.00 6.3
3 1.0 28657.68 8225.48 0.00 6.5
4 1.5 27512.60 8363.48 0.00 6.6
5 2.0 26367.52 8321.02 0.00 7.1
6 2.5 25832.45 8278.66 0.00 6.7
7 3.0 24799.70 8325.25 0.00 7.5
8 3.5 23732.46 8371.96 0.00 7.2
9 4.0 22929.33 8082.35 0.00 7.9
10 4.5 22599.23 7792.84 0.00 7.7
11 5.0 22333.18 7723.67 0.00 8.3
12 5.5 22295.77 7654.60 0.00 8.2
13 6.0 22724.50 8012.90 0.00 8.7
14 6.5 23036.94 8371.31 0.00 8.6
15 7.0 23344.45 8264.28 0.00 8.8
16 7.5 23201.59 8157.36 0.00 8.6
17 8.0 23651.02 8237.35 9.38 9.6
18 8.5 24602.07 8317.44 18.76 9.2
19 9.0 25979.84 8718.01 53.59 9.8
20 9.5 27434.49 9118.67 88.42 9.7
21 10.0 29002.48 9365.60 142.00 9.9
22 10.5 30196.96 9612.65 196.91 10.0
23 11.0 31395.39 10300.34 227.71 10.4
24 11.5 32354.35 10988.15 259.85 10.3
25 12.0 33175.34 11108.14 263.85 10.7
26 12.5 33567.63 11228.28 266.52 10.5
27 13.0 33661.31 11450.66 239.72 10.9
28 13.5 33653.48 11673.19 212.93 10.9
29 14.0 33652.55 11501.57 175.43 11.0
30 14.5 33677.24 11330.09 136.58 11.0
31 15.0 34007.45 11623.69 92.39 10.9
32 15.5 34719.05 11917.43 48.20 11.0
33 16.0 36208.24 11981.75 24.10 10.8
34 16.5 37518.07 12046.22 1.34 11.0
35 17.0 38054.26 11896.86 0.00 10.4
36 17.5 37610.83 11747.66 0.00 10.5
37 18.0 36931.86 12021.19 0.00 10.7
38 18.5 36112.94 12294.88 0.00 10.5
39 19.0 35152.11 12250.13 0.00 10.9
40 19.5 34388.37 12205.53 0.00 10.9
41 20.0 33492.57 12158.56 0.00 10.7
42 20.5 32227.19 12111.74 0.00 10.7
43 21.0 30920.42 12267.30 0.00 10.9
44 21.5 29719.09 12423.01 0.00 10.8
45 22.0 28582.81 12498.44 0.00 11.2
46 22.5 27642.64 12574.02 0.00 11.0
47 23.0 25935.72 12620.51 0.00 11.1
48 23.5 24957.11 12667.16 0.00 11.2
49 24.0 24773.83 12502.24 0.00 11.3
50 24.5 24886.23 12479.90 0.00 11.0
51 25.0 24460.51 12392.87 0.00 10.3
52 25.5 23802.20 12306.00 0.00 11.0
53 26.0 23190.21 12129.98 0.00 9.2
54 26.5 23134.07 11954.10 0.00 9.7
55 27.0 22439.28 12025.07 0.00 8.2
56 27.5 21959.35 12096.20 0.00 8.9
57 28.0 21569.10 12055.91 0.00 7.0
58 28.5 21572.10 12015.78 0.00 7.5
59 29.0 21857.95 11830.87 0.00 6.0
60 29.5 22607.02 11646.11 0.00 6.6
61 30.0 24290.41 11365.53 0.00 5.5
62 30.5 25645.62 11085.10 0.00 5.8
63 31.0 27490.66 10984.76 0.00 4.4
64 31.5 28794.62 10884.56 8.02 5.1
65 32.0 30197.15 10853.20 16.04 4.0
66 32.5 31696.26 10821.98 24.06 4.2
67 33.0 33186.52 10944.14 183.15 5.0
68 33.5 33829.17 11066.44 343.56 4.3
69 34.0 34319.06 10852.64 578.82 5.4
70 34.5 34414.72 10638.99 814.05 5.0
71 35.0 34754.81 10843.46 1035.90 6.0
72 35.5 34796.26 11048.07 1259.07 5.7
73 36.0 34795.33 11145.74 1280.40 6.3
74 36.5 34729.36 11243.55 1303.06 6.1
75 37.0 34664.36 10940.78 1185.40 6.3
76 37.5 34684.13 10638.16 1066.41 6.2
77 38.0 34990.71 10092.94 892.65 6.0
78 38.5 35416.55 9547.85 718.90 6.2
79 39.0 36052.32 9022.68 483.70 4.9
80 39.5 37214.41 8497.63 249.85 5.5
81 40.0 39584.85 8123.76 128.26 3.8
82 40.5 43082.83 7750.00 6.68 4.6
83 41.0 44179.88 7529.64 0.00 2.9
84 41.5 43659.56 7309.37 0.00 3.5
85 42.0 43306.78 7364.83 0.00 2.4
86 42.5 42674.09 7420.39 0.00 2.8
87 43.0 41383.99 7429.15 0.00 2.1
88 43.5 40004.19 7438.00 0.00 2.3
89 44.0 38578.07 7460.09 0.00 2.2
90 44.5 37113.51 7482.29 0.00 2.0
91 45.0 35784.95 7551.09 0.00 2.6
92 45.5 34056.23 7619.99 0.00 2.4
93 46.0 32506.88 7691.02 0.00 3.1
94 46.5 31144.80 7762.14 0.00 2.7
95 47.0 29489.00 7795.35 0.00 3.4
96 47.5 28227.44 7828.66 0.00 3.1
97 48.0 27790.85 7832.95 0.00 3.2
98 48.5 27784.98 7770.63 0.00 3.2
99 49.0 27451.89 7661.51 0.00 3.2
100 49.5 26683.14 7552.49 0.00 3.3
101 50.0 25890.73 7378.88 0.00 3.5
102 50.5 25590.15 7205.37 0.00 3.3
103 51.0 24986.98 6851.64 0.00 2.6
104 51.5 24347.34 6498.01 0.00 3.2
105 52.0 23965.94 6191.00 0.00 1.9
106 52.5 23765.89 5884.08 0.00 2.1
107 53.0 23915.75 5430.32 0.00 1.6
108 53.5 24426.35 4976.65 0.00 1.7
109 54.0 25615.09 4818.68 0.00 1.6
110 54.5 26636.27 4660.77 0.00 1.5
111 55.0 27858.52 4493.91 0.00 1.7
112 55.5 29002.91 4327.11 0.00 1.7
113 56.0 30736.73 4046.86 4.00 1.4
114 56.5 32612.49 3766.67 6.67 1.6
115 57.0 34650.89 3608.73 37.35 1.7
116 57.5 36183.66 3450.84 68.03 1.6
117 58.0 37392.14 3499.68 141.40 1.8
118 58.5 38023.03 3548.58 214.76 1.8
119 59.0 38512.97 3690.81 252.09 2.2
120 59.5 38857.03 3833.08 290.76 2.0
121 60.0 39098.58 3784.09 330.76 2.0
122 60.5 38883.77 3735.15 369.42 2.0
123 61.0 38604.89 3637.26 389.41 2.2
124 61.5 38299.39 3539.41 408.06 2.2
125 62.0 37962.36 3354.82 365.37 2.1
126 62.5 37671.64 3170.27 324.02 2.3
127 63.0 37802.80 3127.97 224.00 1.6
128 63.5 38452.43 3085.71 122.66 1.8
129 64.0 40341.06 3252.38 64.00 1.3
130 64.5 42816.18 3419.09 5.33 1.6
131 65.0 44148.90 3343.43 0.00 0.7
132 65.5 44340.20 3267.83 0.00 0.9
133 66.0 43817.86 3138.84 0.00 2.1
134 66.5 42715.93 3009.89 0.00 1.6
135 67.0 41696.79 2914.24 0.00 2.2
136 67.5 40239.02 2818.64 0.00 2.3
137 68.0 39061.18 2725.22 0.00 2.5
138 68.5 37837.01 2631.85 0.00 1.8
139 69.0 36487.65 2498.43 0.00 2.3
140 69.5 35077.17 2365.05 0.00 2.8
141 70.0 33774.13 2240.53 0.00 1.4
142 70.5 32663.29 2116.04 0.00 1.4
143 71.0 31078.33 2044.87 0.00 1.0
144 71.5 30051.28 1973.73 0.00 1.5
145 72.0 29753.64 2227.07 0.00 0.2
146 72.5 29798.05 2129.26 0.00 0.9
147 73.0 29294.40 2089.22 0.00 -0.1
148 73.5 28400.40 2049.20 0.00 0.2
149 74.0 27644.41 2040.26 0.00 -1.1
150 74.5 27512.37 2031.36 0.00 -0.8
151 75.0 26859.87 2026.88 0.00 -1.2
152 75.5 26234.96 2022.42 0.00 -0.9
153 76.0 25885.07 2020.16 0.00 -2.2
154 76.5 25607.14 2017.93 0.00 -1.6
155 77.0 25592.40 2035.66 0.00 -2.3
156 77.5 25729.46 2053.43 0.00 -2.4
157 78.0 26376.14 2086.73 0.00 -2.5
158 78.5 26853.28 2120.05 0.00 -2.6
159 79.0 27571.92 2184.45 0.00 -3.3
160 79.5 27989.92 2248.88 14.65 -2.6
161 80.0 29185.66 2335.50 27.96 -3.0
162 80.5 30851.61 2422.15 42.60 -2.9
163 81.0 32810.32 2508.76 179.72 -2.1
164 81.5 34399.39 2595.41 318.16 -2.6
165 82.0 36013.11 2739.80 520.48 -0.4
166 82.5 36965.39 2884.21 724.11 -0.9
167 83.0 37770.81 3135.24 835.88 0.0
168 83.5 38378.09 3386.30 946.32 0.4
169 84.0 38915.39 3486.23 934.30 -0.1
170 84.5 39063.32 3586.19 922.28 -0.2
171 85.0 38964.81 3581.68 837.07 0.2
172 85.5 38821.94 3577.21 751.86 -0.1
173 86.0 38996.48 3610.47 564.21 0.3
174 86.5 39100.05 3643.77 377.90 0.2
175 87.0 39696.50 3621.48 256.80 0.7
176 87.5 40632.05 3599.24 134.38 0.5
177 88.0 42678.56 3665.82 71.84 0.9
178 88.5 44890.68 3732.45 9.31 0.8
179 89.0 45496.02 3830.13 0.00 1.2
180 89.5 45387.66 3927.86 0.00 1.1
181 90.0 44763.74 3883.35 0.00 1.5
182 90.5 43718.90 3838.89 0.00 1.4
183 91.0 42765.73 3856.59 0.00 1.5
184 91.5 41652.86 3874.34 0.00 1.5
185 92.0 40373.40 3925.36 0.00 1.5
186 92.5 38914.51 3976.43 0.00 1.5
187 93.0 37340.29 4040.76 0.00 1.6
188 93.5 35372.74 4105.16 0.00 1.5
189 94.0 33760.06 4153.95 0.00 1.9
190 94.5 31974.86 4202.80 0.00 1.6
191 95.0 29872.23 4269.35 0.00 2.2
192 95.5 28607.52 4335.97 0.00 2.3
193 96.0 28435.05 4164.84 0.00 2.1
194 96.5 28649.02 4180.37 0.00 1.8
195 97.0 28439.09 4189.17 0.00 3.1
196 97.5 27895.97 4198.03 0.00 2.8
197 98.0 27461.28 4202.40 0.00 3.3
198 98.5 27413.02 4206.81 0.00 3.1
199 99.0 27032.55 4195.62 0.00 3.5
200 99.5 26393.79 4184.49 0.00 3.4
201 100.0 26066.55 4224.38 0.00 3.4
202 100.5 26050.82 4264.33 0.00 3.5
203 101.0 26735.01 4339.76 0.00 3.8
204 101.5 28114.20 4415.25 0.00 3.6
205 102.0 31338.82 4492.90 0.00 3.7
206 102.5 34527.97 4570.60 0.00 3.7
207 103.0 38298.75 4601.60 0.00 3.9
208 103.5 40489.29 4632.66 0.00 3.9
209 104.0 41641.78 4659.22 15.94 4.0
210 104.5 42226.43 4685.84 30.56 3.7
211 105.0 43242.88 4661.32 108.93 4.4
212 105.5 43557.43 4636.87 187.31 4.0
213 106.0 43836.49 4594.59 304.19 4.6
214 106.5 44238.78 4552.36 421.07 4.2
215 107.0 44342.36 4556.72 508.71 6.2
216 107.5 44435.10 4561.13 595.02 5.5
217 108.0 44653.04 4596.57 620.23 7.2
218 108.5 44570.31 4632.07 645.44 6.9
219 109.0 44494.47 4643.08 552.45 7.2
220 109.5 44381.18 4654.15 459.47 7.2
221 110.0 44526.17 4711.79 365.17 7.1
222 110.5 44540.04 4769.49 270.88 7.2
223 111.0 44650.53 4747.19 179.25 6.9
224 111.5 45590.11 4724.96 88.96 7.0
225 112.0 47296.67 4824.78 46.47 6.7
226 112.5 48495.54 4924.67 5.31 6.7
227 113.0 48682.93 5071.11 0.00 6.6
228 113.5 48336.98 5217.62 0.00 6.7
229 114.0 48187.21 5324.09 0.00 6.7
230 114.5 47905.34 5430.62 0.00 6.6
231 115.0 46947.17 5514.88 0.00 6.6
232 115.5 45301.86 5599.21 0.00 6.7
233 116.0 43863.57 5665.70 0.00 6.6
234 116.5 41968.83 5732.27 0.00 6.6
235 117.0 39891.70 5749.92 0.00 6.3
236 117.5 37505.01 5767.65 0.00 6.4
237 118.0 35331.25 5785.30 0.00 6.2
238 118.5 33135.79 5803.02 0.00 6.3
239 119.0 30713.58 5853.96 0.00 6.2
240 119.5 29307.79 5904.98 0.00 6.1
241 120.0 29073.20 5951.49 0.00 6.9
242 120.5 29284.23 6002.50 0.00 6.9
243 121.0 29087.10 6033.47 0.00 6.5
244 121.5 28370.42 6064.50 0.00 6.5
245 122.0 27809.51 6148.74 0.00 6.5
246 122.5 27560.13 6233.05 0.00 6.6
247 123.0 27061.32 6428.26 0.00 6.9
248 123.5 26446.18 6623.55 0.00 6.7
249 124.0 26031.16 6661.16 0.00 6.8
250 124.5 26002.62 6698.85 0.00 6.9
251 125.0 26496.59 6732.01 0.00 6.7
252 125.5 27830.53 6765.26 0.00 6.7
253 126.0 31066.26 6778.45 0.00 7.2
254 126.5 34623.39 6791.72 0.00 7.1
255 127.0 38533.49 6898.13 0.00 7.7
256 127.5 40847.44 7004.62 0.00 7.5
257 128.0 41812.69 7044.43 9.28 7.4
258 128.5 41800.93 7084.33 17.23 7.5
259 129.0 42584.79 7179.63 88.82 8.3
260 129.5 42789.93 7275.02 160.40 7.8
261 130.0 42790.00 7281.53 271.74 7.4
262 130.5 42756.55 7288.14 383.07 8.3
263 131.0 42677.75 7163.73 514.27 6.5
264 131.5 42627.53 7039.40 645.47 6.6
265 132.0 42598.03 6941.62 758.09 6.4
266 132.5 42323.03 6843.93 869.38 6.6
267 133.0 42121.98 6715.09 842.84 6.7
268 133.5 41962.33 6586.34 816.30 6.6
269 134.0 42059.02 6364.31 735.43 6.5
270 134.5 42108.38 6142.36 654.57 6.4
271 135.0 42270.14 5820.48 477.00 5.8
272 135.5 43417.82 5498.69 300.76 6.4
273 136.0 45594.80 5274.47 158.98 4.6
274 136.5 48258.83 5050.32 18.55 5.0
275 137.0 48644.41 4919.31 0.00 3.9
276 137.5 48497.59 4788.36 0.00 4.3
277 138.0 48424.71 4688.42 0.00 2.8
278 138.5 48429.72 4588.54 0.00 3.5
279 139.0 47488.24 4446.45 0.00 2.2
280 139.5 46112.94 4304.42 0.00 2.6
281 140.0 44771.17 4202.27 0.00 2.0
282 140.5 42749.09 4100.19 0.00 1.8
283 141.0 40868.98 4177.76 0.00 2.8
284 141.5 38565.90 4255.39 0.00 2.6
285 142.0 36119.85 4375.11 0.00 2.8
286 142.5 34175.64 4494.89 0.00 2.9
287 143.0 31684.22 4663.41 0.00 2.8
288 143.5 30244.80 4831.99 0.00 3.3
289 144.0 30069.35 5413.15 0.00 1.6
290 144.5 30352.37 5559.53 0.00 1.6
291 145.0 29924.52 5714.72 0.00 1.9
292 145.5 29194.96 5869.97 0.00 1.7
293 146.0 28675.41 6027.35 0.00 1.8
294 146.5 28446.72 6184.82 0.00 1.6
295 147.0 27996.19 6410.97 0.00 1.9
296 147.5 27275.50 6637.20 0.00 1.6
297 148.0 26853.55 6898.82 0.00 2.4
298 148.5 26644.57 7160.54 0.00 1.9
299 149.0 27193.80 7335.64 0.00 2.8
300 149.5 28269.53 7510.83 0.00 3.0
301 150.0 31585.38 7741.37 0.00 2.9
302 150.5 34957.43 7972.01 0.00 2.9
303 151.0 39127.15 8175.92 0.00 3.5
304 151.5 41300.29 8379.93 25.14 3.3
305 152.0 41828.84 8632.63 48.95 4.1
306 152.5 41636.64 8885.43 74.09 3.6
307 153.0 42559.59 9138.10 168.01 4.7
308 153.5 42769.67 9390.89 260.60 4.6
309 154.0 42913.69 9650.20 335.99 5.1
310 154.5 43025.18 9909.64 411.37 4.9
311 155.0 43261.89 10144.55 432.52 5.5
312 155.5 43462.11 10379.58 452.34 5.2
313 156.0 43663.33 10581.19 457.61 5.7
314 156.5 43589.45 10782.95 461.55 5.6
315 157.0 43239.50 10880.32 407.31 6.1
316 157.5 43595.51 10977.83 353.08 5.9
317 158.0 43555.16 11026.41 290.91 6.3
318 158.5 43246.61 11075.13 228.75 6.2
319 159.0 43444.87 11137.01 154.70 6.5
320 159.5 44679.41 11199.03 81.97 6.5
321 160.0 47134.62 11278.64 42.31 6.4
322 160.5 48635.38 11358.40 2.64 6.4
323 161.0 48971.69 11482.36 0.00 6.7
324 161.5 48545.82 11606.47 0.00 6.5
325 162.0 47975.99 11672.77 0.00 7.0
326 162.5 47038.38 11739.22 0.00 6.9
327 163.0 45848.35 11561.60 0.00 7.1
328 163.5 44450.26 11384.13 0.00 7.1
329 164.0 43053.16 11131.14 0.00 7.4
330 164.5 41043.74 10878.29 0.00 7.2
331 165.0 39021.49 10649.70 0.00 7.7
332 165.5 36676.81 10421.25 0.00 7.5
333 166.0 34690.05 10159.41 0.00 8.3
334 166.5 32687.50 9897.71 0.00 8.0
335 167.0 30400.98 9678.02 0.00 8.5
336 167.5 28779.02 9458.46 0.00 8.4
337 168.0 28372.83 9464.92 0.00 7.4
338 168.5 28755.45 9391.70 0.00 7.3
339 169.0 28583.93 9331.65 0.00 7.2
340 169.5 27878.97 9271.73 0.00 7.1
341 170.0 27311.06 9069.81 0.00 7.1
342 170.5 27234.19 8868.00 0.00 7.1
343 171.0 26796.44 8606.23 0.00 6.6
344 171.5 26238.39 8344.57 0.00 7.0
345 172.0 25859.80 8025.18 0.00 6.3
346 172.5 26007.74 7705.90 0.00 6.3
347 173.0 26843.95 7650.33 0.00 5.8
348 173.5 28096.27 7594.86 0.00 6.1
