t,Demand,Power Output of CCGT+Coal+OCGT+Wind+Solar,Power Output of CCGT+Coal+OCGT+Wind,Power Output of CCGT+Coal+OCGT,Power Output of CCGT+Coal,Power Output of CCGT
1,55992.9,55992.9,55992.9,48873.93971,48873.93971,35000
2,55578.559,55578.559,55578.559,47900.40738,47900.40738,35000
3,56137.383,56137.383,56137.383,48433.87397,48433.87397,35000
4,55707.946,55707.946,55707.946,47877.47669,47877.47669,35000
5,54812.063,54812.063,54812.063,46854.51787,46854.51787,35000
6,53984.962,53984.962,53984.962,45798.73817,45798.73817,35000
7,54027.003,54027.003,54027.003,45612.04271,45612.04271,35000
8,53513.671,53513.671,53513.671,44742.9562,44742.9562,35000
9,52374.484,52374.484,52374.484,43247.89916,43247.89916,35000
10,51896.393,51896.393,51896.393,42248.85509,42248.85509,35000
11,52094.46,52094.46,52094.46,41925.8535,41925.8535,35000
12,53161.669,53161.669,53161.669,42179.7773,42179.7773,35000
13,55312.798,55312.798,55312.798,43517.50558,43517.50558,35000
14,61213.974,61213.974,61213.974,48872.37111,48872.37111,35000
15,67467.543,67467.543,67467.543,54579.45636,54579.45636,35000
16,74907.389,74907.389,74907.389,61460.34207,60000,35000
17,78444.494,78444.494,78444.494,64438.31349,60000,35000
18,79506.722,79506.722,79189.13296,64763.77556,60000,35000
19,79292.08,79292.08,78656.90192,63812.2521,60000,35000
20,80694.937,80694.937,78824.80001,63789.82528,60000,35000
21,80981.982,80981.982,77869.982,62644.45131,60000,35000
22,80804.264,80804.264,76528.04482,60019.16396,60000,35000
23,80502.378,80502.378,75062.10403,57269.75746,57269.75746,35000
24,80235.716,80235.716,74654.56532,56379.61947,56379.61947,35000
25,79947.26,79947.26,74225.2326,55467.51419,55467.51419,35000
26,79855.103,79855.103,74309.67834,55043.94549,55043.94549,35000
27,79309.913,79309.913,73941.09108,54167.1705,54167.1705,35000
28,79061.713,79061.713,74059.95958,53867.09315,53867.09315,35000
29,78758.144,78758.144,74123.45907,53511.35799,53511.35799,35000
30,78827.062,78827.062,74792.15789,53633.97738,53633.97738,35000
31,78620.818,78620.818,75178.57142,53474.13821,53474.13821,35000
32,78886.052,78886.052,76346.81912,53931.22346,53931.22346,35000
33,80884.606,80884.606,79248.27723,56121.17254,56121.17254,35000
34,83050.95,83050.95,82112.9226,58185.70239,58185.70239,35000
35,85916.997,85916.997,85677.21618,60949.64939,60000,35000
36,87165.528,87165.528,87165.528,61561.71573,60000,35000
37,86757.936,86757.936,86757.936,60277.47391,60000,35000
38,86288.26,86288.26,86288.26,59490.62823,59490.62823,35000
39,86612.246,86612.246,86612.246,59497.15575,59497.15575,35000
