t,Energy in store PHES, Energy in store Lithl
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,42000,301.9222774
50,120000,873.9362736
51,120000,1379.285465
52,120000,1379.285465
53,120000,1379.285465
54,120000,1714.063886
55,120000,2115.877549
56,120000,2347.528199
57,120000,2767.354264
58,120000,3318.710265
59,120000,4009.805557
60,120000,4695.197975
61,120000,5000
62,120000,5000
63,120000,5000
64,120000,5000
65,120000,5000
66,120000,5000
67,120000,5000
68,120000,5000
69,120000,5000
70,120000,5000
71,120000,5000
72,120000,5000
73,120000,5000
74,120000,5000
75,120000,5000
76,120000,5000
77,120000,5000
78,120000,5000
79,120000,5000
80,120000,5000
81,120000,5000
82,120000,5000
83,71605.93771,5000
84,0,4671.242779
85,0,3489.191053
86,0,2425.512968
87,0,1518.907131
88,0,609.5684215
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,656.8076533
153,0,1729.768067
154,0,3300.26865
155,0,3300.26865
156,0,3300.26865
157,0,3300.26865
158,0,3300.26865
159,0,4778.80526
160,0,5000
161,0,5000
162,0,4087.793138
163,0,2591.963441
164,0,1374.314365
165,0,419.5582139
166,0,0
167,0,408.1046734
168,0,1569.653352
169,0,3445.39583
170,0,3625.439235
171,0,3625.439235
172,0,3625.439235
173,0,3625.439235
174,0,3625.439235
175,0,3625.439235
176,0,3625.439235
177,0,3625.439235
178,0,4762.627611
179,0,5000
180,0,4298.635995
181,0,2801.334699
182,0,1635.228338
183,0,678.7423872
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
